State,medicaid_spend,total_rxs,unique_ndcs,total_entities,dsh_count,ch_count,fqhc_count,carve_in_arrangements,carve_in_entities,carve_in_pharmacies,total_cp_arrangements,carve_in_rate,has_carve_in,medicaid_spend_M
CA,14163462913.91,91842777.0,35538.0,4902,1919,1915,203,15,9,7,35548,0.0421964667491842,True,14163.46291391
NY,9335559639.62,76876368.0,36218.0,3453,2265,682,28,952,316,57,17393,5.473466337032139,True,9335.559639620002
VA,6121108072.8,24135792.0,33783.0,1293,522,194,2,0,0,0,2235,0.0,False,6121.108072800001
OH,4800009951.12,41848379.0,30466.0,3188,1242,423,30,0,0,0,7669,0.0,False,4800.00995112
PA,4646409262.46,37498653.0,30397.0,2570,1377,329,61,0,0,0,15659,0.0,False,4646.40926246
TX,4047522303.03,34236677.0,24370.0,3395,1754,608,24,15,14,3,25069,0.05983485579799752,True,4047.5223030300003
MI,3914129269.48,31664973.0,27261.0,2617,1563,340,30,0,0,0,12406,0.0,False,3914.12926948
FL,3853143216.5,28176155.0,27320.0,2989,1259,520,30,393,57,7,38064,1.0324716267339218,True,3853.1432165
IL,3377056327.32,26428580.0,25889.0,2104,790,438,14,36,31,7,15226,0.23643767240246943,True,3377.05632732
IN,2791896055.58,20758680.0,26123.0,1216,478,256,101,0,0,0,13789,0.0,False,2791.89605558
LA,2743341588.09,21396817.0,25582.0,2275,1496,367,15,0,0,0,7700,0.0,False,2743.34158809
NC,2679545377.08,17132188.0,29851.0,1883,731,518,26,8,5,2,9562,0.08366450533361222,True,2679.54537708
MA,2286764379.3,16092849.0,28557.0,1334,778,210,0,98,41,6,8033,1.219967633511764,True,2286.7643793
WI,2042420747.56,13766919.0,21914.0,1341,599,102,10,0,0,0,2493,0.0,False,2042.4207475599999
AZ,2011259167.21,16197454.0,23615.0,889,361,218,12,6,6,2,13217,0.04539608080502383,True,2011.25916721
NJ,2010467811.46,22825972.0,29040.0,637,326,131,2,0,0,0,6475,0.0,False,2010.4678114600001
KY,1892796048.3,17966692.0,31932.0,1881,701,552,23,4,4,1,4946,0.08087343307723413,True,1892.7960483
CT,1877604862.89,9601402.0,21813.0,1147,710,333,15,0,0,0,3303,0.0,False,1877.60486289
MO,1861427093.18,16238439.0,26227.0,1936,882,324,2,0,0,0,5984,0.0,False,1861.4270931800002
MD,1696152445.85,15692259.0,27149.0,461,135,148,0,0,0,0,2333,0.0,False,1696.1524458499998
WA,1673771572.45,14496948.0,22998.0,1326,556,387,19,0,0,0,3497,0.0,False,1673.7715724500001
TN,1632406303.77,14753575.0,27121.0,1141,580,226,1,0,0,0,8792,0.0,False,1632.40630377
CO,1546412642.65,8808493.0,21771.0,929,330,232,6,0,0,0,1919,0.0,False,1546.4126426500002
GA,1474321789.54,17394288.0,26292.0,1399,439,363,5,0,0,0,3396,0.0,False,1474.32178954
MN,1388321134.28,11048946.0,27824.0,1257,712,69,16,1695,145,23,4586,36.96031399912778,True,1388.32113428
PR,1113000341.95,14315708.0,13489.0,153,24,90,0,0,0,0,227,0.0,False,1113.0003419500001
AL,1064742044.87,7950641.0,21192.0,777,162,180,10,0,0,0,6890,0.0,False,1064.74204487
OK,1042432110.9,8649542.0,19498.0,923,354,163,10,0,0,0,1872,0.0,False,1042.4321109
WV,937040807.15,8967169.0,20611.0,1297,486,428,6,0,0,0,1975,0.0,False,937.04080715
OR,878343121.99,10869059.0,23129.0,1013,432,266,17,0,0,0,3792,0.0,False,878.34312199
IA,837792376.45,8524794.0,23391.0,891,430,65,0,0,0,0,2065,0.0,False,837.79237645
SC,749624905.89,7674664.0,22262.0,881,385,272,4,0,0,0,5790,0.0,False,749.62490589
MS,622974881.98,6201369.0,25333.0,1008,341,288,0,0,0,0,2443,0.0,False,622.97488198
NV,576791599.52,3867279.0,23159.0,205,57,53,2,0,0,0,5370,0.0,False,576.79159952
ID,573042886.83,4120590.0,18847.0,703,422,91,1,0,0,0,822,0.0,False,573.04288683
NM,572184146.94,5435054.0,22033.0,702,295,166,15,0,0,0,876,0.0,False,572.18414694
AR,523821270.34,5784830.0,18308.0,687,196,259,0,0,0,0,4352,0.0,False,523.82127034
ME,498692312.24,2992718.0,17724.0,756,423,135,7,0,0,0,2120,0.0,False,498.69231224000004
NE,492537183.37,4428882.0,21167.0,416,85,56,0,0,0,0,880,0.0,False,492.53718337
MT,412665244.23,3123238.0,18522.0,399,139,69,2,0,0,0,367,0.0,False,412.66524423000004
UT,389274562.19,3082528.0,18015.0,567,361,49,11,0,0,0,1046,0.0,False,389.27456219
KS,385563077.45,3999378.0,20419.0,957,244,102,4,0,0,0,5463,0.0,False,385.56307745
RI,332194763.92,3923444.0,16076.0,152,75,49,0,0,0,0,1109,0.0,False,332.19476392
DE,293956461.57,2850672.0,17373.0,165,53,12,0,0,0,0,2673,0.0,False,293.95646157
DC,292509761.52,2143238.0,19449.0,103,14,41,0,0,0,0,682,0.0,False,292.50976152
HI,280008308.79,2813386.0,16915.0,255,75,86,1,0,0,0,1751,0.0,False,280.00830879
NH,255033830.25,2215926.0,19776.0,329,128,36,1,0,0,0,1482,0.0,False,255.03383025
AK,209256360.32,1335294.0,15201.0,120,11,23,2,0,0,0,124,0.0,False,209.25636032
VT,201982432.67,1594226.0,15204.0,241,81,75,0,0,0,0,924,0.0,False,201.98243266999998
SD,147881373.7,869951.0,15926.0,371,217,39,1,0,0,0,498,0.0,False,147.88137369999998
ND,108894688.74,1009552.0,15557.0,736,419,25,5,12,6,2,531,2.2598870056497176,True,108.89468873999999
WY,49665417.89,443755.0,11812.0,145,0,25,0,0,0,0,119,0.0,False,49.66541789
GU,0.0,0.0,0.0,6,0,2,0,0,0,0,0,0.0,False,0.0
AS,0.0,0.0,0.0,11,0,7,0,0,0,0,0,0.0,False,0.0
MP,0.0,0.0,0.0,7,0,3,0,0,0,0,12,0.0,False,0.0
VI,0.0,0.0,0.0,9,0,5,0,0,0,0,17,0.0,False,0.0
